,rmse,mae,mape,wape,smape
LightGBM,211.84212968531443,64.02210283778048,51.526087580544434,13.532104781634615,59.04086962521704
XGBoost,219.12508913289687,65.81288146972656,57.92259979248047,13.910614013671875,60.815982818603516
